Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	1975: Marisa Villardefrancos, escritora de Claudio, de 1915.	1975: Marisa Villardefrancos, haihára Epáña pegua (ary reñói 1915).
Wikipedia 	10% de este tipo de violencia es superior.	10%-gui sa'ive umi orekóva koichagua tuguyasuka.
Wikipedia 	Armenios de Turquías tenían una carta en el arsenal.	Armenio-kuéra Turkía-pegua oguereko kuatiañe'ẽnguéra arménio-pe.
Wikipedia 	Era el pastor de las ovejas desde el sol, y el pastor era el más pequeño en el sol de las estrellas.	Ha'e peteĩha mbyjajere kuarahy guive ha mbyjajere michĩvéva Mbyjajerety Kuarahy reheguápe.
Wikipedia 	La más grande de esas áreas es ⁇  Paraná.	Ykuéra rehegua tuichavéva ha'e Ysyry Paraná.
Wikipedia 	La prueba de la "Vorí" se lleva a cabo utilizando harina de maíz, nuevo queso, jugoso y también agua.	"Vorí vorí" tee ojejapo hag̃ua ojeporu avati ku'i, kesu pyahu, jukysy hypu'ũ porãva ha avei y.
Wikipedia 	La planta de Assis se convirtió en una ciudad de ⁇ , ubicada en Sao Paulo.	Indonésia rekuái renda tee Assis ha'ehína peteĩ táva Vrasilpe, tetãvore São Paulope.
Wikipedia 	Mientras que Paraguay es utilizado en el transporte de la kosa (como la soja), minerales (como la calera Concepción) y otros que son enviados desde yacimientos que no se muevan en zonas que tienen caminos y una opción para otros, como el cemento que se encuentra en la ciudad de Vallemi.	Ysyry Paraguái oiporúva transporte kosecha (ha'éva soha), mineral (ha'eháicha calera Concepción) ha ambue omondóva hepykua ndahepýiva umi tendáre orekóva umi tape ha peteĩ opción ambuépe guarã, ha'eháicha cemento oguerúva tavaguasu Vallemi.
Wikipedia 	Este trabajo fue realizado por su padre en el círculo de Cristóbal Pedersen y de Gladys Torales, quienes tuvieron una relación íntima con sus seres queridos.	Ko tembiapo omotenondékuri itúvakuéra karaí Cristóbal Pedersen ha Ña Gladys Torales, ha ambué ipehenguekuérandi.
Wikipedia 	1944: Jim Abrahams, el cineasta, el productor y el ⁇ .	1944: Jim Abrahams, cineasta, productor ha guionista Tetã peteĩ reko Amérikagua pegua.
Wikipedia 	Quedan unos 38 km de Asunción, por lo que el tren llegará hasta la Ruta III "Gral.	Opyta 38 km Paraguaýgui, oñeg̃uahẽ upépe Ruta III "Gral.
Wikipedia 	Pero si te vuelves atrás, no eres de los que se pierden;	Rehasáta ramo Tava'i mboypýri rehasa mante va'erã yvyty ári, peteínte jepe ha nda'ipóri ikarapéva.
Wikipedia 	Cuando un hombre fuerte, como Satanás, está cerca de su casa, ora a su hermano,	Ñepohãnokuaapy ko'ag̃agua oipuru pohã térã pirekytĩ ojapo hag̃ua membykua.
Wikipedia 	En el año 1997 fue entregado el nombre de la "Llama del Arte que nunca se se apaga", que consiste en entregar los "Amigos del Arte" del Paraguay y ese año se oficia el día 31 de octubre, las bodas de diamantes pertenecientes a los sacerdotes recibieron la mayor parte de los servicios de la familia durante 60 años.	Ary 1997 jave oñembojopói chupe pe "Llama del Arte que nunca se apaga" hérava, kóva ome'ẽ "Amigos del Arte" del Paraguay ha upe arýpe avei omomorã pe ára 31 jasypa jave, pe bodas de diamante pa'i reheguáva omoguahẽva 60 ary mba'apo tapão pegua.
Wikipedia 	Márchate por completo: ke (monge) / karu (mongaru) / 5.4) Guarani (ch, mb, nd, ng, r) es un solo día.	Techapyrä: ke (monge) / karu (mongaru) / 5.4) Guarani pundiekõi (ch, mb, nd, ng, nt, rr) hína peteĩ tai año.
Wikipedia 	El país registra los 186 053 386 Ciudadanos (como ocurrió en 2015).	Ko tetãme oiko amo 186 053 386 tetãyguanguéra (ojeipapaháicha ary 2015-pe).
Wikipedia 	Por medio de los ángeles, los seres humanos tienen la capacidad de elegir entre la gente del mundo y la gente del mundo.	Umi amandaje tetãygua pegua rupive ikatu ojapo teko me'ẽ ha tekorã pyahu opa tetãme guarã térã peteĩ yvy vorépe guarã ha ikatu oiporavo mávapa omba'apóta tetã mba'ekuéra rupive.
Wikipedia 	En la Guerra del Sol hay 8 Miércoles y éstos son: El Nuevo Testamento de la Estrella de la Tierra, el Santo Urano Neptuno.	Ñande Kuarahy Mbyjajeretýpe oĩ 8 mbyjajere ha ko'ãva ha'e: Mekúrio Mbyja Ko'ẽ Yvy Marte Hupite Satuno Urano Neptuno Plutõ ha'eva'ekue peteĩ mbyjajere upei ojetopa ambue yvágamba'e ojoguáva chupe.
Wikipedia 	El concepto central de Heymáña es: Escandinavo antiguo (India), islandés, feroés, noruego (India), noruego (bokmaal, riesgol), danés, sueco, dalecarniano, lúguo (India).	Yvate Heymáña ñe'ẽnguéra: Escandinavo antiguo (†), islandés, feroés, noruegañe'ẽ, norn (†), noruego (bokmaal, riskmal), danés, sueco, dalecarniano, gútnico antiguo (†).
Wikipedia 	2012: Johnny Tapia, boxeador de la zona del euro	2012: Johnny Tapia, boxeador Tetãvore Joapykuéra pegua (ary reñói: 1967).
Wikipedia 	Pero el séptimo derramó su tazón sobre el romanticismo, con lo que volvió a levantarse la fiebre y comenzó a hablar mal de él.	Ãga katu, saro'y XIX pe, Rromantisismo ndive, heñói jey tai galléga ha oñepyrũ opu'ã ko'ãgagua iñe'ẽmbo'e, oñepi'ãva'ekue saro'y XX pukukue omohenda porãségui iñe'ẽ.
Wikipedia 	1972: Asta Nielsen, de origen danés danés (año 1881).	1972: Asta Nielsen, mba'eapohára danesa (ary reñói 1881).
Wikipedia 	La América del Sur se ubica en el medio del Paraguay, en lugares donde a menudo aparecen hermosas creaciones ornamentales en el agua, la tierra y el cielo.	América del Sur mbytetépe opyta Paraguái, tetã jajuhutahápe heta mba'eporã hechapyrã ijatúva ojeju ojehecha y, yvy ha yvatérupi.
Wikipedia 	1995: Krešimir  ⁇ osi ⁇ , ⁇  y entrenadora croatas (alrededor de 1948).	1995: Krešimir Ćosić, baloncestista ha entrenador croata (ary reñói 1948).
Wikipedia 	Antes de su día se realizó la Misa y la serenata.	Hi'ára mboyve oiko Misa ha serenata guasu.
Wikipedia 	"Vori vori" está entre los pocos alimentos paraguayos que se encuentran en los mesas de Paraguay, en los hogares de los pobres o de los ricos; los encontrarás en las grandes extensiones de comida, y en los llanos pobres.	"Vori vori" oĩ umi mbovymi tembi'u paraguái apytépe ojejuhúva opaite mesápe tetã Paraguáipe, jámane imboriahúva térã iviru hetáva rógape; rejuhúta chupe umi jekaru kakuaa oĩhápe ha upéichante avei umi tapỹi okára mboriahumíme.
Wikipedia 	1908: Ian Fleming, escritor y bloguero de ⁇ , el creador de James Bond (muerto: 1964).	1908: Ian Fleming, haihára ha mba'eapohára Vyretáña pegua, creador de James Bond (ary omano: 1964).
Wikipedia 	Puede tratar con moderación a los ignorantes y errados, puesto que él también está cercado de su propia debilidad,	Italiano ñe'ẽjoavy ikatu ñambyeja'o mbphapy atýpe: yvategua, toskáno, ha mbye'iguy gotyo.
Wikipedia 	1980: Carlinhos, el zapato grande de ⁇ .	1980: Carlinhos, vakapipopo ha'ãhára Pindoramagua.
Wikipedia 	Candido, 1970, p.18.	Candido, 1970, p.18.
Wikipedia 	Cuando empezó a gobernar con la Triple Alianza, fue al cuartel y ingresó a la Sanidad Militar.	Oñepyrũramo guare ñorairõ Triple Alianza ndive, oho cuartel-pe ha oike Sanidad Militar-pe.
Wikipedia 	Escobar, Ticio y Amigo, Roberto	Escobar ,Ticio y Amigo, Roberto .
Wikipedia 	Poco después, el pueblo de Israel se reunió en torno a él y eligió un nuevo destino: Ciudad del Este.	Ko mba'e oiko rire tapichakuéra tavaygua oñepy'amongeta heta rire oiporavo herarã oguahẽ peteĩ ñe'ẽme ha ojehero Ciudad del Este.
Wikipedia 	Hay un altar de oro para el incienso, y otro para el incienso.	Oĩ takuare'ẽ pytã, takuare'ẽ morotĩ ha takuare'ẽ hũ'i.
Wikipedia 	Los ensamblajes son un buen trabajo con sus piezas tridimensionales que se acorralan y desarrollan sobre ellas.	Umi ensamblajes hga'e tembiapo porãoguerekóva pieza-kuéra tridimensionales oñeñapytĩ ha ojeipyaháva umi mba'e ári.
Wikipedia 	El día, la hora, el minuto y el minuto que transitan los seres humanos crean y alteran su poder, y por otra parte comunican hasta que se les permite tener los brazos blancos.	Ara, aravo, aravo'i ha aravoi'ive ohasávape ava omoheñói ha omoambue hembiapo, ha upéicha avei omyasãi ikatuha peve umi isyva ry'aikue.
Wikipedia 	El vidente Forbes, de la ciudad de ⁇ , hizo un magnífico trabajo sobre la avenida Brasil.	Kuatiahaipyre Forbes Tetã peteĩ reko Amérikagua pegua ohai akue heta mba'e porã Avenida Brasil rehe.
Wikipedia 	Los ciudadanos cambiaron el sentido de este país en Tailandia, y dejaron con vida a los tailandeses, moradores de quienes vinieron al este, China y otros lugares.	Ko'ã tavayguakuéra omoambue ko retã Tailandia, ha omojopara Tailandia hekovekuéra, mojoparava máva ou Kuarahy reike, China ha ambue renda.
Wikipedia 	Desde el año 1950 la ciudad de Fernando de la Mora nació y quedó en su país central.	Ary 1 950 guive táva Fernando de la Mora-gui oikoma tetã'i ha opyta tetã vore Central-pe.
Wikipedia 	Estos son los animales que se usan para el culto.	Ko'ã ta'ãnga'i jaipuru ñamomorã hagua.
Wikipedia 	1918: Joseph Wiseman, sin hogar canadiense (muerte en 2009).	1918: Joseph Wiseman, mba'eapohára canadiense (ñemano ary 2009).
Wikipedia 	Ahora bien, esta es la ciudad que tiene fundamentos verdaderos en su propia casa.	Ko'ãga ko tetã imba'eguasuite Kuarahyresẽ Aguĩgua rendápe.
Wikipedia 	El día 1 de mayo es el día de los 121 años de la vida comunal y el día de los 122 de los años exactos.	Ára 1 jasypo ha'e ára 121ha ary pegua ku arapapaha Gyregoriopegua ha ára 122ha umi ary hekope'ỹme.
Wikipedia 	Tiene 5 kg y es fuerte.	Ipohyikue 5 kg ha hatã porã.
Wikipedia 	Eladio Martínez - 19 de mayo Patricio Escobar - 19 de abril Juan Gualberto González - 30 de julio de 1911-1912-1913...	Eladio Martínez - 19 jasypo Patricio Escobar - 19 jasyrundy Juan Gualberto González - 30 jasypokõi ...1911-1912-1913...
Wikipedia 	Digo, pues: Mientras el heredero es menor de edad, en nada es diferente del siervo,	Jereha: Hembe guy pehẽngue ojeréva ha ho'áva.
Wikipedia 	1947: Marcelo Araujo, periodista deportivo de la Argentina.	1947: Marcelo Araujo, momaranduhára deportivo Argentina pegua.
Wikipedia 	A partir de esta larga vida puedes acudir a un gran parque de diversiones, muy bonito, como el de Claudio Vera, también autodenominado y el de Ypoa Guasu, donde puedes dormir bien o bien andar en canoas.	Ka'apuku guive ikatu reho heta hendápe ñembosaráirã, iporãitereíva, péicha oĩ Laguna Vera, ojeheróva avei ypa Ypoa Guasu, ikatuhápe reipirakutu térã kanoape reiko.
Wikipedia 	José Félix Estigarribia."	José Félix Estigarribia" rupi.
Wikipedia 	Ahora bien, en cuanto a las cosas que se refieren a mí, este es el punto principal de cuanto se habla aquí en la lengua y en el corazón de los hombres.	Ko ñe'ẽ Guarani omoñepyrũ heta ñe'ẽ oipurúva ambue aty'i, péicha oĩ tupinamba ñe'ẽ, tupi ñe'ẽ, ha acheñe'ẽ umi ojekuaavéva apytépe.
Wikipedia 	En varias ciudades el hombre hizo "Couvade" y el padre se negó a comer nada hasta que el niño se pudriera.	Heta távape kuimba'e ojapo "Couvade" pe túva oñeno ha ndo'úi mba'eve ho'a peve mitã puru'ã.
Wikipedia 	El paso de Patria se ve muy bien: el camino es limpio, el lugar de los visitantes está bien cuidado, pero el grupo de personas de esta zona protege a los visitantes.	Paso de Patria ojehecha porã: tape potĩ, ojevyhahakuéra renda oñeñangareko porã, tapichakuéra katu ko'ápe torýpe oñangareko mbohupakuérare.
Wikipedia 	1968: James Patrick Stuart, de la familia de ⁇ .	1968: James Patrick Stuart, mba'eapohára Tetãvore Joapykuéra pegua.
Wikipedia 	2008: Zélia Gattai, escritora brasileña, viuda de Jorge Amado (año 1916).	2008: Zélia Gattai, haihára brasileña, viuda de Jorge Amado (ary reñói 1916).
Wikipedia 	Esto no puede ser de otra manera, porque el librito y la lira son mejores que los demás.	Kóva ndaikatujepéi ojapo, hákatu pe arpa pu porã iputagueteri arapy tuichakue.
Wikipedia 	El municipio de Capitán Mauricio José Troche fue fundado en ⁇ .	Táva Capitán Mauricio José Troche oñefunda 1919-pe.
Wikipedia 	Wikimedia Commons tiene una imagen pequeña del patriarca Miguel de Cervantes.	Wikimedia Commons oguereko ta'ãnga Miguel de Cervantes reheguaCommons.
Wikipedia 	300 °C/160°C/39°C/33°C/33°C/33°C/43°C/43°C/43°C/43°C/33.	300px|thumb|left|Tape juasa Arahakúpe hakukue ohupity 39°C, ha ho'ysãvéramo katu og̃uahẽ 2°C bajo cero rupi; jepive haku 24°C rupi.
Wikipedia 	Al huérfano (verano: calandria, habla: Mimus saturnino) son aves de todo tipo que se crían en los montes y alrededores.	Chochĩ (karaiñe'ẽ: calandria, lasioñe'ẽ: Mimus saturninus) guyra'ikuéra hetaichagua oikóva ka'aguy ha óga jerére.
Wikipedia 	También es utilizada como remedio.	Avei ojepuru pohãramo.
Wikipedia 	Francisco Solano López le dijo a San Anastasio –: si sale bien, Milósevic Estero Bellaco– entonces hará allí la iglesia, y así fue como se hizo por primera vez en el templo tras la clausura del gran templo.	Francisco Solano López he'i San Anastasio–pe: osẽ porãrõ ñorairõ Estero Bellaco–pe, upeicharõ ojapota upépe Tupão, ha upeichaite oiko upévare ko tupão raẽvete ojejapo va'ekue ñorairõ guasu opa rire.
Wikipedia 	1906: Nils Tycho Norlindh, ⁇  suico (muerte en 1995).	1906: Nils Tycho Norlindh, botánico sueco (ñemano ary 1995).
Wikipedia 	Hay un solo cuerpo y un solo miembro, así como también los demás.	Peteĩva hína avágui heñoijeyha ava, ha ava retepýpe oñemohendajeyha oĩmiva guive henda jepiveguápe, péicha tesa, tãi, kũ; avei, ñane rembi'urape ha ñane pytuhẽrape; ha avei umi mba'e hypy'ũvéva, úmiva apytépe ñande rajygue rysyieta.
Wikipedia 	Indicó que gran parte de los turistas juegan en los campos de trippel y alpinismo, en los alrededores de los grandes bosques donde abundan los buenos olores, aún cuando están detrás de nosotros.	Oi itape guasu iporaitemíva umi turista-kuéra oñembosarái hagua rappel ha alpinismo, ojeréva hese ka'aguyete guasu ryakuã porã, avakuér aopoko'yva gueteri.
Wikipedia 	327 v./321 v. 2.5.2- Unidad: por un alto precio.	327 v./321 v. 2.5.2- Peteĩha: por ijypy nanga.
Wikipedia 	1990: Daisy Turner, de la tribu de Galacia;	1990: Daisy Turner, mba'eapohára ha modelo Vyretáña pegua.
Wikipedia 	El cuarto está en las inmediaciones de la ciudad de San Joaquín, en la zona denominada Ache Purã.	Aty irundyha oĩ táva San Joaquín jerére, ko'ãvape oje'e Ache Purã.
Wikipedia 	Lahiri, Tripti.	Lahiri, Tripti.
Wikipedia 	1968: Adam Woodyatt, de la familia de ⁇ .	1968: Adam Woodyatt, mba'eapohára Vyretáña pegua.
Wikipedia 	Sorprendida por la respuesta, la maestra le dijo: "Para qué eres feliz".	Sorprendida por la respuesta, la maestra le dice: "Mba'érãpa ere ajavyha".
Wikipedia 	Una vez más, ya no queda sitio para ir a Mariskada porque ya no hay bosques, ya no podemos contarle a Perurima sobre los casos a los que sólo se ve la televisión turca auditada por la radio. Y así muchas otras cosas que en el pasado ya no se consuman, pero de todas maneras queda para los fines de los más de doscientos sesenta segundos.	Ko'agaipi nda'ija véima jahávo mariskádape nda'iporivéimagui ka'aguy, ndaikatuvéima ñamombe'u Perurima kaso ojehechántemagui tele terã oñehendu radio.Ha péicha heta mba'e yma ojejapóva ko'aga ndojejapo véima ha upéagui hi'ã opyta mandu'arã kuatiápe ani hagua oiko ichugui tesarai.
Wikipedia 	2008: Michael Turner, ilustrador de la zona de Múnich (que nació en 1971).	2008: Michael Turner, ilustrador Tetãvore Joapykuéra pegua (ary heñói 1971).
Wikipedia 	En medio del país está Nicolasita del Espíritu Santo (1943), El Padre Cantalicio, El borracho de la casa, y El hombre que robó una pava (incluso).	Mombe'ur0Ò mbytépe oreko Nicolasita del Espíritu Santo (1943), El Padre Cantalicio, El borracho de la casa, avei El hombre que robó una pava (inconcluso). .
Wikipedia 	Dijo que durante su estancia en la ciudad, el niño Ache Guajaki ya quedó bajo la custodia de su madre.	Péicha he'i: Heñói jave mitã Ache Guajaki apytépe, opytáma isy poguýpe.
Wikipedia 	En otros lugares cercanos a Mbejingo también se ponen a prueba los juicios de las naciones.	Ambue táva kuéra Mbejingo hi'aguĩ ojapo avei jetepyso ha ñeha'ã oimeraẽva.
Wikipedia 	Su nombre proviene del río Lilongue que pasó por los restos de su ciudad.	Ko táva réra ou upe ysyry Lilongue ohasáva imbytére.
Wikipedia 	Clima: Arthur Lismer, de la tribu de ⁇  (la muerte en 1969).	1895: Arthur Lismer, mongolohára Kanatã pegua (ñemano ary 1969).
Wikipedia 	El dueño de la casa respondió a las autoridades: "Sí, tengo tres leones".	Óga jára ombohovái Kachíkepe: "Hëe, areko tres leones".
Wikipedia 	Todos los niños de Paraguay vamos a descansar con mucha hambre.	Opa Paraguái ra´y japyta tyre´ ỹ ha tuicha vy´a´ ỹ reheve.
Wikipedia 	Ahora bien, la expresión “ Todavía una vez más ” significa la remoción de las cosas que son sacudidas como cosas que han sido hechas, a fin de que permanezcan las cosas que no son sacudidas.	Koreañe'ẽ rehe oje'e ha'eha peteĩ ñe'ẽ ha'eñóva ndaikatúi rupi ojejuhu peteĩ ñe'ẽ ñemoñare ojogua añetéva ko ñe'ẽme ikatu haguãicha oñemoĩnge ijapytépe.
Wikipedia 	1935: Malvina, asistente de la banda The Beatles (quien murió: 1976).	1935: Mal Evans, asistente Vyretáña pegua de la banda The Beatles (ary omano: 1976).
Wikipedia 	1896: Clara Schumann, pianista y compositora de la Nación (léase 1819).	1896: Clara Schumann, pianista ha compositora Alemáña pegua (ary reñói 1819).
Wikipedia 	1914: Robert Aickman, escritor de la diáspora (la muerte en 1981).	1914: Robert Aickman, haihára Vyretáña pegua (ñemano ary 1981).
Wikipedia 	Fernando Verga, el séptimo patriarca, llegó a ser el séptimo después de Cristo,	1970: Fernando Vergara, vakapipopo ha'ãhára ha entrenador Chíle pegua.
Wikipedia 	2012: François Hirzebruch, zona del sur de Clima (Antigua: 1927).	2012: Friedrich Hirzebruch, matemático Alemáña pegua (ary reñói: 1927).
Wikipedia 	Pobladores como Venesia Casablanca de Paraguay Brasilia Chikago de Wikimedia Commons tienen una imagen de ⁇  de la Ciudad.	Tavakuéra techapyrã Venésia Casablanca Paraguay Brasilia Chikago Wikimedia Commons oguereko ta'ãnga Táva reheguaCommons.
Wikipedia 	1833: Manuel del Refugio González Flores, en ⁇  y en ⁇ .	1833: Manuel del Refugio González Flores, ojokuaikuaáva ha karai milíko Méhiko pegua (ary omano 1893).
Wikipedia 	1934: Canario (Darcy Silveira dos Santos), el balón original de la moneda única.	1934: Canario (Darcy Silveira dos Santos), vakapipopo ha'ãhára Pindoráma pegua.
Wikipedia 	Y te escribiré una breve carta.	Ha péina ko kuatiañe'ẽme, mbykymi jepe, ambohováita ndéve.
Wikipedia 	También se organizó esta ciudad: manantiales estudiantiles, religiones y otros días: el Día del Niño, Día de la Guerra del Chaco, Día de la Juventud, entre otros.	Ko'ã mba'e avei ojejapo ko távape: temimbo'e jehasa (desfiles estudiantiles), religión rehegua ha umi árakuéra ha'éva: mitã ára Día del Niño, ñorairõhára Guerra del Chaco-pe guare ára, mitãrusu ára (Día de la Juventud) ha ambue mba'e oikóva ikatuhápe mayma pehenguekuéra ohasaporã.
Wikipedia 	600 acueductos romanos con 35 descripciones en detalle entre los cuales el acueducto de Segovia World Monuments Fund - Acueducto de Segovia de la Sagrada Orden del Templo de Jesucristo (convocado intermitentemente, el Templo Mormón) fue un santuario simbólico que se autodenomina "restituido".	600 Roman aqueducts with 35 descriptions in detail among which the Segovia aqueduct World Monuments Fund - Acueducto de Segovia Hesukrísto Tupao Marangatukuéra Arapahapegua (oñehenóiva jepi sapy'ante, pe Tupao Mormón) ha'e peteĩ Tupao cristiana ojerrestauráva'ekue ojeheróva ijupe omoĩjeyhague ko yvy'ape'ari pe Tupao teéte Hesukrísto omopu'ãva'ekue.
Wikipedia 	No come carne, pero está negligente.	Ndo'uguasúiva so'o, oĩvoi ndo'uietéva.
Wikipedia 	Un poco de levadura hace fermentar toda la masa.	Peteĩ ñemohenda ndahasyietéva niko pe ñamboja'óva mymba ikanguéva ha ikangue'ỹvape.
Wikipedia 	En el año 1970: el rey Agripa I y su compañero de milicia,	1970: Antonio Chimenti, vakapipopo ha'ãhára ha entrenador Itália pegua.
Wikipedia 	Su padre fue el señor George N. Harris y su madre Cornelia Bryan.	Itúva herava'ekue George N. Harris ha isýkatu Cornelia Bryan.
Wikipedia 	En la iglesia se prepara la cabalgata con leche, para que el ternero haga lo que le apetezca.	Cajeta: Méhikope, ojejapo kavara kambýre, cajeta quemada ojejapo kavara kambýre oñembojýva. Dulce de leche: ojejapóva vaka kambýre.
Wikipedia 	El que trabaja en el campo tiene derecho a ser el primero en recibir su parte de la cosecha.	Kianunga tëtaigua ombaeyavi yave, toñemboepika chupe oipotague rupi erëi, ipuereko yave, aguiye tomombo tembipirirupe.
Wikipedia 	Los entusiastas del arte de magia también se entretienen con las mujeres, los niños y los adultos.	Jeroky ojeipuru oporombohory hag̃ua avei, tembiapoporã ha arandupy jehechaukápe térã ikatu ojeipuru jerovia jehechaukápe avei.
Wikipedia 	La coronaví es una enfermedad nueva, grave, que viene de Císica, que ha pasado por Europa, ha entrado a América y ha llegado hasta aquí hasta nuestro país.	Koronavíru péva niko peteĩ mba'asy pyahu, ivaíva, oúva Chína-gui, ohasámava Europa rupi, oikémava Amérikape ha og̃uahẽmava ñane retãme.
Wikipedia 	Y trajeron el asna y su pollino, y pusieron sobre ellos sus mantos, y él se sentó encima.	Ogueraha hikuái pe chavurro imemby reheve Hesúpe ha ha'ekuéra omoĩ hi'ári ijaokuéra ha Hesu ojupi.
Wikipedia 	1906: Financiación de la muerte, ⁇  del suicidio (muerte en 1980).	1906: Hans Krainz, botánico suizo (ñemano ary 1980).
Wikipedia 	En 1945 se estableció en la ciudad de Caaguazú hasta 1933.	1945-pe oñemopyenda táva Ka'aguasu ko'ag̃aite peve.
Wikipedia 	La principal ciudad de esa provincia era Derbe, ciudad de Banguila.	Itavusu ha táva tuichavéva hína Bangui.
Wikipedia 	P: Qué gran experiencia tenían los tres.	P: Mba'eichaitépa mbohapyvéva oikóramo.
Wikipedia 	Tras un par de días, la mujer que no esté embarazada puede contraer matrimonio de nuevo a los cuatro o quince semanas.	Imemby rire, kuña nomokambúinteva ikatu hyeguasu jey irundy térã poteĩ arapokõindy riremínte.
Wikipedia 	Allí los proveedores regalaron sus productos elaborados con frutas.	Upépe umi mba'apoharakuéra oikuãve'ẽ hembiapokuéra ojapova'ekue ko yva frutilla-gui.
Wikipedia 	Westfalia (Día: Uésyhalia) es la primera ciudad de Brasil, en la provincia de ⁇ .	Westfália (Avañe'ẽme:Uésyhalia) ha'ehína peteĩ táva Brasil retãme, ñembýpe gotyo.
Wikipedia 	Salemma empezó a trabajar en política a partir de los 10 Minutes de 2009.	Salemma oñepyrũ omba´apo políticape 10 jasypateĩ 2009 guive.
Wikipedia 	MOI:10.1016/S0140-6736(12)60478-4.	DOI:10.1016/S0140-6736(12)60478-4.
Wikipedia 	En el año 2001, los estudiantes estudiaron y tomaron posesión del ATENEO DE LENGUA Y CULTURA GUARANÍ, Gral.	Ary 2001, temimbo'ekuéra oñemoarandúva avañe'ẽme ATENEO DE LENGUA Y CULTURA GUARANÍme, Gral.
Wikipedia 	Reunió información sobre la ubicación de los ⁇ res y así salvó a muchos judíos.	Ombyatýkuri marandu oikuaaukáva mba'éichapa ha moõpa oĩ hikuái umi ñorairõhára oñemonambiva'ekue ha peichahápe avei oipysyrõkuri heta Hudíope.
Wikipedia 	Cada uno de ellos parecía un miembro pequeño, pero de aspecto más grande que el otro, así como el nombre de una gran muchedumbre, era de aspecto más amplio que el de ellos.	Opaicharei hi'a: tuicha ha michĩva, ijapu´áva, ipekõi ha ipukúva, ijape morotĩ para´i, hovyũ ha hovérova.
Wikipedia 	Era profesor de muchos paraguayos y tenía en su haber a su esposa como creadora de obras.	Ha'e Mbo'ehára va'ekue hetaiterei paraguaigua oguereko va'ekue ichuipe techaukahára ramo iñarandukuégui.
Wikipedia 	En 1947 volvió a salir a anunciarle a Paraguay su música con Herminio Giménez, quien ahora está en Argentina.	1947-me osẽ jey omyasãivo Paraguái purahéi Herminio Giménez ndive, ko'ág̃a Argentina-pe haitéma.
Wikipedia 	El gran castillo (voto: castillo), es un fuerte hogar, donde los mongoles tienen su silencio y sillas.	Óga guasuete (karaiñe'ẽ: castillo), ha'e peteĩ óga guasu mbarete, orekóva mongorahakuéra ijere ha ógayvate po'i avei.
Wikipedia 	Los más grandes creyentes de San Cristóbal y Nieves confiaron en el camino de Jesús y hablaron ingles.	Umi San Cristóbal ha Nieves retãygua ipehẽngue tuichavéva ojerovia Hesu rapépe ha oñe'ẽ ingleñe'ẽ.
Wikipedia 	Un día, se reunió con un hombre que le preguntó a la mujer qué sucedería si sus hijos crecieran.	Peteï ára, oñemongeta hendive peteï karai oporandúva kuñakaraimíme mba'épa oikóta imembykuéragui okakuaapávo.
Wikipedia 	Wikimedia Commons tiene una imagen del Apóstol.	Wikimedia Commons oguereko ta'ãnga Ao reheguaCommons.
Wikipedia 	Ojalá que no le paguemos nada más.	Ko'apeve ikatu romoguahê nderepagairamo chéeve nde deveha.
Wikipedia 	Johann Wolfgang von Goethe / Krajo ⁇ han ⁇ v ⁇ lf ⁇ a ⁇  f ⁇ n ⁇  ⁇ t ⁇ / (Fráncfort del Meno, Hesse, 28 de agosto del año 1749-Weimar, Turingia, 22 de marzo del año 1832) estaba con un acuerdo, con el apoyo de un escritor, escritor de novelas y psicólogo de ⁇  que apoyaba la producción de un	Johann Wolfgang von Goethe /ˈjoːhan ˈvɔlfɡaŋ fɔn ˈɡøːtə/ (Fráncfort del Meno, Hesse, 28 jasypoapy ary 1749-Weimar, Turingia, 22 jasyapy ary 1832) ha'e akue peteĩ ñe'ẽpapára, tembiasagua'u haihára, mombe'upyrusu haihára ha tembikuaatyhára Alemaña pegua oipytyvõva akue omoñepyrũ hag̃ua upe py'aiterape (romanticismo), omoguasuite ku ñemuasãi heraha py'aiterape.
Wikipedia 	Matrícula N° 979.	Matrícula N° 979.
Wikipedia 	1965: Sixto Antonio Cabana Guillén, guerrillero de la zona del euro (que murió en 2010).	1965: Sixto Antonio Cabana Guillén, guerrillero Kolómbia pegua (ary omano 2010).
Wikipedia 	Su nombre proviene del río Limoy, que está en el desierto.	Héra ou ysyry guasu Limoygui oĩva ko reserva korapy ohupytyhávepe.
Wikipedia 	Los departamentos tienen rutas pavimentadas, terraplenadas y ripios.	Departamento orekóva ruta pavimentada, terraplenada ha ripio.
Wikipedia 	Rompieron alrededor de 1.324 mm; hubo lluvias desde ⁇  hasta ⁇  y no se detuvo hasta ⁇  hasta agosto.	Oky 1.324 mm rupi; okyve jasypateĩ guive jasyteĩ meve ha ndokyseí jasypoteĩ guive jasypoapy peve.
Wikipedia 	1961: Liam Cunningham, diputado ⁇ .	1961: Liam Cunningham, mba'eapohára irlandés.
Wikipedia 	Álvaro Cardoso Gomes.	Álvaro Cardoso Gomes.
